parameter,city,conservative,base,aggressive,unit,label,source_or_rationale
public_demand_kwh_per_day,Delhi,41641,41641,41641,kWh/day,DERIVED,"Phase 4 SAM 15,199 MWh/yr / 365"
public_demand_kwh_per_day,Hyderabad,38471,38471,38471,kWh/day,DERIVED,"Phase 4 SAM 14,042 MWh/yr / 365"
fast_stations,Delhi,399,399,399,stations,FACT,"PIB Lok Sabha reply 16 Dec 2025"
fast_stations,Hyderabad,373,373,373,stations,DERIVED,"Telangana 548 x 68% Hyderabad share (Phase 4)"
capture_multiple,All,0.75,1.25,2.0,x fair share,ASSUMPTION,"1.0 = average existing station. Base 1.25 for a well-chosen, reliable site (many rivals seen faulted, Phase 5); 2.0 = hub-quality site"
year1_ramp,All,0.6,0.7,0.8,share of steady demand,ASSUMPTION,"New stations take time to be discovered by drivers and apps"
demand_growth_per_station,All,0.00,0.07,0.12,per year,ASSUMPTION,"EV stock doubling (Phase 4) but charger supply also surging (Delhi 16k points by end-2026; TGREDCO 200 stations), so per-station growth is modest"
kwh_per_session,All,20,20,20,kWh,ASSUMPTION,"Cab mid-shift top-up on ~26-30 kWh batteries; converts energy to sessions only"
price_net_of_gst,Delhi,16.94,18.64,19.06,Rs/kWh,DERIVED,"Observed Rs 19.99 / 21.99 / 22.49 (Phase 5), assumed to include 18% GST"
price_net_of_gst,Hyderabad,13.00,16.00,18.64,Rs/kWh,ASSUMPTION,"Cons = match TGREDCO Rs 13 excl GST; base = discount to private Rs 21.99 to compete with govt network; aggr = private median"
price_escalation,Delhi,0.00,0.02,0.03,per year,ASSUMPTION,"Prices have been flat; modest pass-through of tariff increases"
price_escalation,Hyderabad,0.00,0.02,0.03,per year,ASSUMPTION,"Cons 0% because TGREDCO price is fixed for 10 years"
electricity_rs_per_kwh,Delhi,6.00,5.50,4.95,Rs/kWh,DERIVED,"DERC Rs 4.50 + PPAC 16-18% + surcharges/duty (applicability to verify)"
electricity_rs_per_kwh,Hyderabad,6.50,6.00,6.00,Rs/kWh,FACT/ASSUMPTION,"TGERC LT-IX Rs 6.00; cons +Rs 0.50 for duty/FSA (to verify)"
electricity_fixed_rs_per_month,Delhi,0,0,0,Rs/month,FACT,"DERC EV category: no fixed charge"
electricity_fixed_rs_per_month,Hyderabad,120,120,120,Rs/month,FACT,"TGERC LT-IX customer charge (HT config handled separately)"
tariff_escalation,All,0.05,0.03,0.02,per year,ASSUMPTION,"Tariffs frozen in FY27 in Telangana; Delhi order unchanged since FY22; range allows catch-up"
grid_losses,All,0.03,0.03,0.03,share,ASSUMPTION,"Charger/cable conversion losses: energy bought = energy sold / (1 - losses)"
host_revenue_share,All,0.20,0.15,0.10,share of net revenue,ESTIMATE,"Bolt.Earth: hosts get 10-20% of charging revenue"
staff_fte,All,2.0,1.0,0.5,FTE,ASSUMPTION,"Remote-monitored station with day attendant; cons = 2 shifts; aggr = shared with host"
staff_cost_rs_per_month,All,20000,20000,20000,Rs/month per FTE,ASSUMPTION,"Above Delhi unskilled minimum Rs 18,456 (Apr 2026) and Telangana Rs 11,844"
maintenance_pct_of_charger_capex,All,0.07,0.05,0.04,per year,ASSUMPTION,"Annual maintenance contract; no sourced benchmark"
cms_rs_per_charger_month,All,1500,1500,1500,Rs/charger/month,ASSUMPTION,"Charge-management software / network fee"
payment_fee_share,All,0.02,0.015,0.01,share of revenue,ASSUMPTION,"UPI near-zero, cards ~2%"
insurance_pct_of_capex,All,0.005,0.005,0.005,per year,ASSUMPTION,"Equipment insurance"
misc_rs_per_month,All,5000,5000,5000,Rs/month,ASSUMPTION,"Internet, cleaning, admin"
fixed_cost_inflation,All,0.05,0.05,0.05,per year,ASSUMPTION,"Wages and services inflation"
capex_multiplier,All,1.15,1.00,0.90,x benchmark,ASSUMPTION,"Govt benchmark prices may differ from market quotes"
contingency,All,0.10,0.10,0.10,share of capex,ASSUMPTION,"Standard project contingency"
uptime,All,0.95,0.95,0.95,share,FACT (benchmark),"TGREDCO tender requires 95% uptime"
power_delivery_factor,All,0.70,0.70,0.70,share of rated kW,ASSUMPTION,"Cars draw less than rated power as battery fills (taper)"
max_practical_utilisation,All,0.40,0.40,0.40,share of hours,ASSUMPTION,"Above ~40% cars queue and leave; caps capacity"
tax_rate,All,0.2517,0.2517,0.2517,share,FACT,"Sec 115BAA: 22% + 10% surcharge + 4% cess"
depreciation_years,All,10,10,10,years,ASSUMPTION,"Straight-line, no salvage (simplification of tax WDV)"
horizon_years,All,10,10,10,years,ASSUMPTION,"Charger life ~10 yrs; TGREDCO CPO contracts are 10 years"
risk_free_rate,All,0.0702,0.0702,0.0702,share,FACT,"India 10Y G-sec, 23 Sep 2026"
equity_risk_premium,All,0.0708,0.0708,0.0708,share,FACT,"Damodaran India total ERP, Jan 2026"
beta,All,1.0,1.0,1.0,x,ASSUMPTION,"No listed pure-play Indian CPO; market-average risk; tested 12-16%"
