item,cost_rs,unit,label,source_or_rationale
dc_60kw_charger,814000,per unit,DERIVED,"Linear interpolation of MHI benchmarks: 50 kW Rs 7.25 lakh, 100 kW Rs 11.68 lakh"
dc_120kw_charger,1345000,per unit,DERIVED,"Linear extrapolation of the same MHI benchmarks (no 120 kW benchmark published)"
ac_7kw_charger,58000,per unit,OBSERVED,"RIOD PowerPod Go 7.4 kW OCPP commercial charger listing (taxes included)"
civil_per_dc_bay,200000,per DC charger,ESTIMATE,"Cars24 (Jun 2026): installation & civil Rs 1.5-2.0 lakh for a 30 kW station (upper end)"
civil_per_ac_bay,50000,per AC charger,ASSUMPTION,"Smaller foundation and cabling than a DC bay"
signage,40000,per station,ESTIMATE,"Cars24: Rs 25,000-40,000"
software_setup,35000,per station,ESTIMATE,"Cars24: Rs 20,000-35,000"
permits_misc,50000,per station,ESTIMATE,"Cars24: Rs 25,000-50,000"
hyd_ht_demand_charge,100,Rs per kVA per month,FACT,"TGERC HT-IX (only if connected load > 150 kW)"
hyd_ht_customer_charge,2000,Rs per month,FACT,"TGERC HT-IX at 11 kV"
