input,delhi,hyderabad,unit,label,source_or_rationale
ecar_sales_fy26,16986,19810,cars,FACT,"EVreporter FY26 (Telangana = state, Apr25-Feb26 only)"
ecar_sales_jan_aug_2026,19875,21537,cars,FACT,"Autocar Professional 7 Sep 2026 (Telangana = state)"
ecar_growth_yoy_jan_aug_2026_pct,120,100,%,FACT,"Autocar Professional 7 Sep 2026"
ecar_penetration_jan_jul_2026_pct,12.3,15.1,% of new cars,FACT,"EVreporter 10 Aug 2026"
hyderabad_share_of_telangana_evs_pct,,68,%,ASSUMPTION,"ETV Bharat: Hyd+Rangareddy+Medchal = 68% of ALL Telangana EVs in FY26; applied to cars"
hyderabad_ecar_stock_aug_2025,,22365,cars,FACT,"Hyderabad RTA via Siasat, as of 10 Aug 2025 (treated as cumulative)"
telangana_ecar_sales_cy2025,,18072,cars,FACT,"Autocar Professional 7 Sep 2026"
national_ecar_sales_fy24,91303,,cars,FACT,"Autocar Professional (Vahan retail FY2024)"
national_ecar_sales_fy25,115800,,cars,FACT,"EVreporter FY25 report"
national_ecar_sales_fy26,219484,,cars,FACT,"EVreporter FY26"
fast_charging_stations,399,548,stations,FACT,"PIB Lok Sabha reply 16 Dec 2025 (Telangana = state)"
cab_share_of_ecar_stock_pct,15,15,%,ASSUMPTION,"No sourced split found; VAHAN 'Motor Cab' class export will replace (Delhi)"
private_km_per_year,11560,11560,km,FACT (Delhi) / ASSUMPTION (Hyd),"Goel et al. 2015, Delhi car survey; applied to Hyderabad"
cab_km_per_day,175,175,km,ESTIMATE,"Zevpoint fleet guide: 150-200 km/day city cabs (mid-point)"
cab_operating_days,300,300,days,ASSUMPTION,"~6 days a week"
kwh_per_km,0.10,0.10,kWh/km,ESTIMATE,"MeraEV: Nexon EV 10.87 km/kWh (0.092), Xpres-T 12.91 km/kWh (0.077); rounded up for city traffic and AC"
private_public_share_pct,10,10,%,ESTIMATE,"Kazam-AEEE 2026: home meets up to 90% of EV energy demand (all EVs)"
cab_public_share_pct,30,30,%,ASSUMPTION,"Fleets mostly charge at own depots (BluSmart/Evera/Refex hubs); range 15-50% tested later"
